country,gini_reported,mean,median,exchangerate,currency,mean_usd,median_usd,gdp_ppp_pc_usd2011,population
Afghanistan,29,36588,,50.2496147435897,Afghan afghani,,,1298,27294031
Albania,28.96,2703.36,2340.72,108.184644599242,US$2011PPP,2703,2341,10300,2920039
Algeria,27.62,2972.76,2592,77.5359666666667,US$2011PPP,2973,2592,13162,37565847
Andorra,27.21,17266,14668,,Euro,,,,73182
Angola,42.72,1448.88,1044.24,79.3281666666667,US$2011PPP,1449,1044,5908,22549547
Argentina,38.5,8488.32,6384.84,16.5627069251411,US$2011PPP,8488,6385,18934,44271041
Armenia,32.55,2600.52,2217.96,480.488150777966,US$2011PPP,2601,2218,8190,2924816
Australia,48.3,59488,55380,1.10936329281692,"Local currency units, at current prices",19942,16075,43602,23474668
Austria,27.2,26054,23694,0.904035127950359,Euro,20181,17843,44590,8712137
Azerbaijan,16.64,3014.28,2785.92,0.945421,US$2011PPP,3014,2786,7913,8538606
"Bahamas, The",43,39626,33600,1,Bahamian dollar,,,31990,322526
Bangladesh,32.39,1407.72,1126.2,78.4680916666667,US$2011PPP,1408,1126,3319,162951560
Barbados,47,2945,,2,Barbadian dollar,,,16418,279569
Belarus,26.99,7069.8,6197.04,1.98956283333333,US$2011PPP,7070,6197,16811,9480042
Belgium,26.3,24256,22295,0.904035127950359,Euro,17891,16240,41984,11358379
Belize,53.26,3016.92,1791.24,2,US$2011PPP,3017,1791,6371,239026
Benin,47.76,990.72,700.44,591.449507501328,US$2011PPP,991,700,1987,10575952
Bhutan,37.44,3204.6,2458.08,65.121568645066,US$2011PPP,3205,2458,8709,807610
Bolivia,41.8,4832.16,3578.64,6.91,US$2011PPP,4832,3579,6886,11051600
Bosnia and Herzegovina,32.68,6808.56,5662.2,1.76349164694686,US$2011PPP,6809,5662,10932,3535961
Botswana,60.46,3485.04,1632.6,6.7936079944304,US$2011PPP,3485,1633,13334,2014866
Brazil,51.3,7027.92,4398.48,3.49131342157271,US$2011PPP,7028,4398,14077,207652865
Bulgaria,40.2,4598,3590,1.73545833333333,Euro,6834,5521,18541,7084571
Burkina Faso,35.3,1006.08,751.44,494.414952864937,US$2011PPP,1006,751,1582,17585977
Burundi,38.62,652.92,484.8,1546.68666666667,US$2011PPP,653,485,803,9891790
Cambodia,30.76,331000,233000,4037.5,Cambodian riel,1996,1626,3124,15270790
Cameroon,46.64,1936.32,1308.96,494.414952864937,US$2011PPP,1936,1309,3196,22239904
Canada,43.2,52800,44300,1.32539963630667,Canadian dollar  2016,20941,17787,43208,36289822
Cape Verde,45,220097,1885.32,99.3856935425685,Cape Verdean escudo,2920,1885,5915,532913
Central African Republic,56.24,884.64,487.68,447.805255560773,US$2011PPP,885,488,861,4345386
Chad,43.32,1177.68,876.6,471.8661140917,US$2011PPP,1178,877,1864,12288651
Chile,47.65,7894.2,5096.16,654.124084254196,US$2011PPP,7894,5096,22517,17762681
China,36.16,33616.2,4011.36,6.64447782944681,Chinese yuan,5003,4011,14146,1403500365
Colombia,50.84,5213.76,3254.16,3054.12167321081,US$2011PPP,5214,3254,13135,48653419
Comoros,45.33,2128.44,1454.28,370.811214648703,US$2011PPP,2128,1454,1432,759385
"Congo, Democratic Republic of the",42.1,549.96,396.24,919.565907354881,US$2011PPP,550,396,742,71316033
"Congo, Republic of the",48.94,1409.04,914.52,471.8661140917,US$2011PPP,1409,915,5214,4512730
Costa Rica,46.6,8610.96,5469,567.51309030978,US$2011PPP,8611,5469,15525,4905769
Cote d'Ivoire,41.47,1403.28,1019.88,591.449507501328,US$2011PPP,1403,1020,3242,23108472
Croatia,29.8,6337,5726,6.80599016666667,Euro,6831,6116,21599,4213265
Cuba,38,1255,,0.836666665666667,Cuban peso,,,,11150736
Cyprus,32.1,16943,14020,0.904035127950359,Euro,15835,12762,22882,1170125
Czechia,25.1,8808,7838,24.4399166666667,Euro,10298,9159,31207,10610947
Czechoslovakia,24.5,39552,38700,,Czechoslovak koruna,,,,15599000
Denmark,27.6,32792,29383,6.60289346561403,Euro,19067,16355,46976,5733551
Djibouti,44.13,1772.04,1280.4,177.721,US$2011PPP,1772,1280,,896688
Dominica,44.4,,,2.7,,,,10303,71074
Dominican Republic,45.28,5444.4,3757.68,46.0779796067821,US$2011PPP,5444,3758,14120,10648791
Ecuador,45.02,4922.28,3459.72,1,US$2011PPP,4922,3460,10424,16385068
Egypt,31.82,2197.56,1760.04,7.69125833333333,US$2011PPP,2198,1760,10096,93778172
El Salvador,39.98,3734.16,2840.88,1,US$2011PPP,3734,2841,7164,6344722
Equatorial Guinea,50.2,,,733.03850707,,,,16932,639762
Eritrea,,,,6.75882178395591,,,,1828,3161350
Estonia,32.7,10102,8645,0.904035127950359,Euro,10629,8685,28182,1312442
Eswatini,51.45,1406.76,823.56,7.32122196115288,US$2011PPP,1407,824,7297,1202843
Ethiopia,39.07,1334.52,1003.2,21.7315472222222,US$2011PPP,1335,1003,1608,102403196
Fiji,36.7,2724.84,2055.96,1.88734972339858,US$2011PPP,2725,2056,8222,885806
Finland,25.3,26689,23987,0.8851907586,Euro,18018,15717,40498,5523231
France,29.3,25278,21713,0.904035127950359,Euro,19452,16282,39321,64720690
Gabon,38.02,3533.64,2770.68,582.094550149641,US$2011PPP,3534,2771,16562,2025137
"Gambia, The",35.92,1799.04,1394.16,43.8846335946905,US$2011PPP,1799,1394,1555,2038501
Georgia,36.49,2693.88,2137.68,2.366725,US$2011PPP,2694,2138,8790,3925405
Germany,29.5,24020,21275,0.904035127950359,Euro,19666,16672,44667,81914672
Ghana,42.37,2278.44,1659.48,1.95405,US$2011PPP,2278,1659,3807,26346251
Greece,34.3,8673,7500,0.904035127950359,Euro,7947,6732,23329,11183716
Guatemala,48.31,3121.2,2046.96,7.73223333333333,US$2011PPP,3121,2047,7147,15923559
Guinea,33.73,1047.6,852.12,6985.82902633333,US$2011PPP,1048,852,1684,11281469
Guinea-Bissau,50.66,830.16,506.4,495.277021572396,US$2011PPP,830,506,1400,1555880
Guyana,35,2434.68,1787.4,200.188333333333,US$2011PPP,2435,1787,4949,749601
Haiti,41.1,1584.36,1195.8,41.9497229523156,US$2011PPP,1584,1196,1585,10289210
Honduras,50.05,3021.84,1989.72,22.835025,US$2011PPP,3022,1990,4407,9112867
Hong Kong (China),47.3,54888,,7.76225,Hong Kong dollar,,,54664,7302843
Hungary,28.1,5589,4988,274.433333333333,Euro,7809,6876,26942,9721559
Iceland,24.1,31627,28379,120.811548065239,Euro,18322,16089,46038,332474
India,35.9,1557,1139.64,53.4372333333333,US$2011PPP,1557,1140,4828,1263065852
Indonesia,40.69,2600.64,1890.36,13380.8716666667,US$2011PPP,2601,1890,11189,263991379
Iran,38.78,5962.8,4512,25941.6641445972,US$2011PPP,5963,4512,16924,78411092
Iraq,29.54,2145.72,1825.44,1166.16666666667,US$2011PPP,2146,1825,14626,32776571
Ireland,29.5,25513,22407,0.904035127950359,Euro,16897,14261,63619,4726078
Israel,44,11842.32,9310.8,3.84056666666667,"Local currency units, at current prices",11842,9311,34102,8191828
Italy,33.1,18286,16247,0.904035127950359,Euro,14731,12695,35354,59429938
Jamaica,38.03,4408.8,2885.88,116.897590181625,US$2011PPP,4409,2886,8095,2871934
Japan,48.8,3018910,12589.32,97.5956582776385,Japanese yen,14544,12589,36897,128312920
Jordan,33.66,3979.56,3149.04,0.71,US$2011PPP,3980,3149,9214,7574943
Kazakhstan,26.86,4146,3557.64,221.728333333333,US$2011PPP,4146,3558,23250,17749648
Kenya,40.78,1204.32,878.88,101.504369498594,US$2011PPP,1204,879,2927,48461567
Kiribati,36.97,1858.68,1489.2,1.3279734405,US$2011PPP,1859,1489,1905,94260
"Korea, Republic of",34.1,14179.92,12387.36,1131.1575,"Local currency units, at current prices",14180,12387,34462,50593662
Kosovo,26.54,3243.36,2879.4,,US$2011PPP,3243,2879,,1816000
Kyrgyzstan,26.78,1930.8,1646.88,69.9140658252997,US$2011PPP,1931,1647,3379,5955734
Laos,36.39,1357.44,1040.76,7860.1375,US$2011PPP,1357,1041,5116,6494557
Latvia,34.5,7831,6607,0.8851907586,Euro,8482,6954,24949,1949670
Lebanon,31.83,8360.4,7092.36,1507.5,US$2011PPP,8360,7092,15057,4916404
Lesotho,54.18,908.64,532.92,7.32122196115288,US$2011PPP,909,533,2366,2040551
Liberia,33.24,988.56,815.88,83.8925,US$2011PPP,989,816,805,4390737
Lithuania,37,7033,5645,0.904035127950359,Euro,9083,7231,27648,2908249
Luxembourg,31,39415,33818,0.904035127950359,Euro,25358,21033,95954,575747
"Macedonia, former Yugoslav Republic of",33.6,2549,2233,55.731725,Euro,3804,3243,13121,2081206
Madagascar,42.65,563.28,396.12,2194.96666666667,US$2011PPP,563,396,1371,22346573
Malawi,45.48,680.76,453.72,156.515451111111,US$2011PPP,681,454,1051,15627618
Malaysia,41.04,10201.92,7513.56,4.14830066287879,US$2011PPP,10202,7514,25669,31187265
Maldives,38.37,2382.24,1856.52,12.8,US$2011PPP,2382,1857,12006,364511
Mali,33.04,870.48,696.6,495.277021572396,US$2011PPP,870,697,1872,15075085
